x y
3.57969920e+03 2.179274102117310e-15
3.58167040e+03 1.976614258568450e-15
3.58364160e+03 2.083629154604890e-15
3.58561280e+03 2.185073544109550e-15
3.58758400e+03 2.085960221043920e-15
3.58955520e+03 2.053617357985630e-15
3.59152640e+03 2.122574904956870e-15
3.59349760e+03 2.044552424473310e-15
3.59546880e+03 2.171335309876350e-15
3.59744000e+03 2.280513663584050e-15
3.59941120e+03 2.048183734620440e-15
3.60138240e+03 2.026708375094450e-15
3.60335360e+03 2.043255298621570e-15
3.60532480e+03 2.045439662300810e-15
3.60729600e+03 1.975096531425370e-15
3.60926720e+03 1.998538467119200e-15
3.61123840e+03 2.001826870977660e-15
3.61320960e+03 2.009490915232970e-15
3.61518080e+03 1.902096706507330e-15
3.61715200e+03 1.935866531002280e-15
3.61912320e+03 1.954828469740030e-15
3.62109440e+03 1.828991818130740e-15
3.62306560e+03 1.902268794403180e-15
3.62503680e+03 2.002564342782030e-15
3.62700800e+03 1.827988655275320e-15
3.62897920e+03 1.896679601283370e-15
3.63095040e+03 2.044478840376750e-15
3.63292160e+03 1.972827356456930e-15
3.63489280e+03 2.014600052322110e-15
3.63686400e+03 2.105388101988200e-15
3.63883520e+03 2.081683214311140e-15
3.64080640e+03 2.137206014850240e-15
3.64277760e+03 2.173633438553700e-15
3.64474880e+03 2.156778944604170e-15
3.64672000e+03 2.251343352738230e-15
3.64869120e+03 2.264456924791380e-15
3.65066240e+03 2.335179723504090e-15
3.65263360e+03 2.502962815116790e-15
3.65460480e+03 2.440588316929000e-15
3.65657600e+03 2.557307630420430e-15
3.65854720e+03 2.584790756957860e-15
3.66051840e+03 2.582000109245810e-15
3.66248960e+03 2.627144546023760e-15
3.66446080e+03 2.753826838324530e-15
3.66643200e+03 2.758069861666130e-15
3.66840320e+03 2.821628507680150e-15
3.67037440e+03 2.902179537617830e-15
3.67234560e+03 2.895432737897660e-15
3.67431680e+03 2.812840059350520e-15
3.67628800e+03 2.862147830370930e-15
3.67825920e+03 2.892979896194970e-15
3.68023040e+03 2.962238394316870e-15
3.68220160e+03 3.000418032374180e-15
3.68417280e+03 2.910101825618070e-15
3.68614400e+03 2.838440868522980e-15
3.68811520e+03 2.755644835366830e-15
3.69008640e+03 2.697785506422970e-15
3.69205760e+03 2.705351935351540e-15
3.69402880e+03 2.746617779375110e-15
3.69600000e+03 2.703933695461550e-15
3.69797120e+03 2.698615550978420e-15
3.69994240e+03 2.622414043068000e-15
